incia,badgenum
UF22-0001,3415
UF22-0005,3384
UF22-0005,3402
UF22-0006,3395
UF22-0007,3395
UF22-0007,3445
UF22-0008,3369
UF22-0008,3432
UF22-0012,3381
UF22-0018,3421
UF22-0021,3441
UF22-0025,3393
UF22-0028,3420
UF22-0033,3433
UF22-0033,3438
UF22-0034,3396
UF22-0039,3370
UF22-0039,3442
UF22-0045,3376
UF22-0045,3414
UF22-0046,3413
UF22-0047,3421
UF22-0053,3414
UF22-0058,3368
UF22-0058,3382
UF22-0060,3368
UF22-0060,3382
UF22-0063,3370
UF22-0063,3442
UF22-0065,3433
UF22-0065,3438
UF22-0067,3425
UF22-0072,3440
UF22-0075,3414
UF22-0078,3433
UF22-0083,3432
UF22-0086,3370
UF22-0086,3433
UF22-0086,3442
UF22-0087,3393
UF22-0089,3368
UF22-0089,3382
UF22-0092,3397
UF22-0093,3388
UF22-0093,3421
UF22-0095,3420
UF22-0096,3385
UF22-0098,3433
UF22-0098,3438
UF22-0103,3421
UF22-0107,3432
UF22-0111,3368
UF22-0111,3370
UF22-0111,3382
UF22-0118,3432
UF22-0121,3368
UF22-0121,3382
UF22-0124,3441
UF22-0126,3376
UF22-0126,3381
UF22-0129,3440
UF22-0131,3442
UF22-0134,3444
UF22-0143,3393
UF22-0145,3369
UF22-0146,3396
UF22-0150,3396
UF22-0152,3385
UF22-0155,3421
UF22-0158,3388
UF22-0162,3414
UF22-0163,3397
UF22-0164,3420
UF22-0170,3427
UF22-0173,3427
UF22-0176,3369
UF22-0177,3396
UF22-0178,3370
UF22-0178,3433
UF22-0178,3438
UF22-0178,3442
UF22-0180,3418
UF22-0180,3425
UF22-0184,3370
UF22-0184,3442
UF22-0186,3433
UF22-0186,3438
UF22-0199,3433
UF22-0199,3438
UF22-0200,3442
UF22-0201,3422
UF22-0201,3445
UF22-0203,3432
UF22-0204,3368
UF22-0204,3369
UF22-0204,3382
UF22-0204,3433
UF22-0204,3438
UF22-0208,3409
UF22-0208,3419
UF22-0209,3444
UF22-0214,3414
UF22-0215,3433
UF22-0215,3438
UF22-0217,3368
UF22-0217,3433
UF22-0217,3438
UF22-0220,3388
UF22-0231,3403
UF22-0233,3441
UF22-0236,3442
UF22-0241,3377
UF22-0241,3403
UF22-0247,3403
UF22-0262,3385
UF22-0266,3388
UF22-0274,3441
UF22-0277,3385
UF22-0278,3421
UF22-0284,3414
UF22-0287,3427
UF22-0288,3376
UF22-0288,3381
UF22-0291,3432
UF22-0292,3404
UF22-0294,3376
UF22-0296,3376
UF22-0304,3414
UF22-0305,3378
UF22-0309,3410
UF22-0319,3418
UF22-0321,3425
UF22-0329,3388
UF22-0330,3413
UF22-0334,3369
UF22-0366,3414
UF22-0374,3418
UF22-0376,3418
UF22-0378,3418
UF22-0383,3433
UF22-0383,3438
UF22-0384,3369
UF22-0385,3418
UF22-0387,3376
UF22-0390,3402
UF22-0405,3414
UF22-0411,3442
UF22-0417,3421
UF22-0418,3393
UF22-0418,3422
UF22-0418,3445
UF22-0420,3388
UF22-0422,3369
UF22-0424,3427
UF22-0432,3368
UF22-0432,3369
UF22-0436,3396
UF22-0439,3420
UF22-0444,3433
UF22-0444,3438
UF22-0448,3409
UF22-0448,3410
UF22-0455,3415
UF22-0458,3425
UF22-0464,3381
UF22-0469,3445
UF22-0473,3418
UF22-0474,3381
UF22-0485,3445
UF22-0486,3422
UF22-0487,3395
UF22-0489,3432
UF22-0492,3442
UF22-0495,3433
UF22-0495,3438
UF22-0495,3442
UF22-0503,3368
UF22-0509,3381
UF22-0513,3414
UF22-0514,3421
UF22-0516,3445
UF22-0520,3442
UF22-0522,3368
UF22-0522,3382
UF22-0524,3368
UF22-0533,3421
UF22-0536,3420
UF22-0537,3433
UF22-0538,3398
UF22-0539,3382
UF22-0540,3441
UF22-0541,3368
UF22-0542,3398
UF22-0545,3376
UF22-0546,3385
UF22-0551,3380
UF22-0551,3418
UF22-0552,3432
UF22-0557,3384
UF22-0557,3398
UF22-0557,3402
UF22-0557,3444
UF22-0564,3442
UF22-0586,3422
UF22-0589,3376
UF22-0597,3398
UF22-0599,3384
UF22-0599,3402
UF22-0600,3395
UF22-0600,3420
UF22-0604,3376
UF22-0606,3390
UF22-0606,3409
UF22-0612,3376
UF22-0612,3381
UF22-0617,3427
UF22-0619,3420
UF22-0620,3418
UF22-0624,3368
UF22-0634,3441
UF22-0642,3381
UF22-0642,3414
UF22-0646,3369
UF22-0649,3396
UF22-0671,3378
UF22-0673,3378
UF22-0673,3384
UF22-0675,3398
UF22-0683,3393
UF22-0683,3420
UF22-0683,3422
UF22-0685,3398
UF22-0694,3382
UF22-0695,3427
UF22-0706,3409
UF22-0710,3378
UF22-0717,3444
UF22-0723,3444
UF22-0734,3434
UF22-0735,3373
UF22-0736,3409
UF22-0737,3369
UF22-0744,3434
UF22-0753,3388
UF22-0760,3406
UF22-0761,3395
UF22-0761,3445
UF22-0768,3414
UF22-0778,3418
UF22-0799,3410
UF22-0802,3415
UF22-0809,3369
UF22-0813,3414
UF22-0819,3444
UF22-0833,3388
UF22-0836,3396
UF22-0842,3421
UF22-0845,3385
UF22-0860,3376
UF22-0860,3381
UF22-0861,3376
UF22-0861,3381
UF22-0862,3376
UF22-0866,3393
UF22-0867,3396
UF22-0867,3404
UF22-0874,3441
UF22-0880,3425
UF22-0881,3395
UF22-0881,3422
UF22-0885,3368
UF22-0887,3368
UF22-0893,3445
UF22-0895,3404
UF22-0897,3432
UF22-0898,3385
UF22-0905,3605
UF22-0907,3433
UF22-0909,3395
UF22-0910,3390
UF22-0914,3411
UF22-0916,3415
UF22-0918,3442
UF22-0920,3404
UF22-0923,3385
UF22-0923,3421
UF22-0926,3376
UF22-0926,3381
UF22-0934,3404
UF22-0938,3422
UF22-0939,3444
UF22-0941,3388
UF22-0950,3442
UF22-0951,3381
UF22-0953,3420
UF22-0954,3605
UF22-0966,3376
UF22-0966,3605
UF22-0972,3373
UF22-0972,3419
UF22-0973,3418
UF22-0978,3443
UF22-0979,3369
UF22-0982,3382
UF22-0987,3408
UF22-0987,3434
UF22-0993,3381
UF22-0997,3406
UF22-0998,3402
UF22-0999,3382
UF22-1011,3444
UF22-1016,3369
UF22-1017,3421
UF22-1019,3442
UF22-1026,3380
UF22-1027,3421
UF22-1029,3381
UF22-1034,3381
UF22-1038,3418
UF22-1040,3403
UF22-1042,3381
UF22-1048,3396
UF22-1059,3420
UF22-1059,3422
UF22-1061,3406
UF22-1062,3369
UF22-1062,3433
UF22-1065,3434
UF22-1066,3381
UF22-1066,3414
UF22-1071,3421
UF22-1073,3404
UF22-1077,3380
UF22-1079,3421
UF22-1081,3376
UF22-1086,3421
UF22-1088,3369
UF22-1088,3432
UF22-1090,3442
UF22-1100,3418
UF22-1108,3422
UF22-1112,3438
UF22-1112,3443
UF22-1124,3377
UF22-1129,3377
UF22-1129,3403
UF22-1135,3376
UF22-1135,3381
UF22-1142,3406
UF22-1147,3404
UF22-1149,3396
UF22-1154,3385
UF22-1162,3376
UF22-1187,3605
UF22-1188,3376
UF22-1188,3381
UF22-1195,3421
UF22-1204,3369
UF22-1207,3418
UF22-1208,3443
UF22-1211,3438
UF22-1211,3443
UF22-1212,3385
UF22-1212,3388
